name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Perry, NY",10/12/2021,24.6,16.6,19.8,24.6,16.6,19.8,14.6,72.9,0,0,0,,0,0,33.5,20.6,175.2,1016.5,31.9,16,138.2,11.9,5,,2021-10-12T07:22:01,2021-10-12T18:34:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/13/2021,22.2,16,18.7,22.2,16,18.7,15.3,81.1,0,0,0,,0,0,,13.4,235.2,1016.2,84.3,16,66.8,5.7,3,,2021-10-13T07:23:11,2021-10-13T18:32:30,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/14/2021,24.9,12.5,18.2,24.9,12.5,18.2,13.7,77.3,0,0,0,,0,0,,11.7,175.6,1015.5,26.9,15.6,114.5,9.7,5,,2021-10-14T07:24:22,2021-10-14T18:30:51,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/15/2021,23.2,18.3,20.1,23.2,18.3,20.1,17.7,86.4,6.85,100,33.33,rain,0,0,,14,197.1,1011.1,77.1,15,49.1,4.1,2,,2021-10-15T07:25:32,2021-10-15T18:29:14,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/16/2021,20,11,15.9,20,11,15.9,13.9,87.7,18.96,100,62.5,rain,0,0,43.4,24.9,265.5,1005.6,92.7,14,36.4,3.2,2,,2021-10-16T07:26:43,2021-10-16T18:27:37,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,E6819,KBUF,72498894704,KDSV"
"Perry, NY",10/17/2021,13.9,7.7,10.6,13.9,5.8,10.1,6.1,74.9,0.71,100,16.67,rain,0,0,48.2,26.1,279.5,1011.5,76.5,16,82.9,7.3,3,,2021-10-17T07:27:55,2021-10-17T18:26:02,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",10/18/2021,11.1,6.1,9.3,11.1,4.7,8,4.6,73,0.87,100,41.67,rain,0,0,44.6,29,288.5,1014.9,86.6,16,71.2,6,3,,2021-10-18T07:29:06,2021-10-18T18:24:27,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/19/2021,19.5,4.3,11.5,19.5,1.6,10.7,5.3,69.7,0.09,100,4.17,rain,0,0,44.4,24.6,245,1017.8,7.6,16,130.5,11.2,5,,2021-10-19T07:30:18,2021-10-19T18:22:53,0.49,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/20/2021,21.2,11.3,15.2,21.2,11.3,15.2,10.4,74.3,0,0,0,,0,0,44.8,20.8,260,1017.6,31.7,16,78.8,6.7,4,,2021-10-20T07:31:31,2021-10-20T18:21:20,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",10/21/2021,21.3,11.9,15.3,21.3,11.9,15.3,11.1,77.2,5.62,100,45.83,rain,0,0,42.5,20,196.7,1011.7,62.8,15.7,60.5,5.4,3,,2021-10-21T07:32:43,2021-10-21T18:19:48,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
